source,target
Certain NETGEAR devices are affected by command injection by an unauthenticated attacker. This affects D6400 before 1.0.0.78 EX6200 before 1.0.3.86 EX7000 before 1.0.0.64 R6250 before 1.0.4.8 R6300v2 before 1.0.4.6 R6400 before 1.0.1.12 R6700 before 1.0.1.16 R7000 before 1.0.7.10 R7100LG before 1.0.0.42 R7300DST before 1.0.0.44 R7900 before 1.0.1.12 R8000 before 1.0.3.36 R8300 before 1.0.2.74 R8500 before 1.0.2.74 WNDR3400v3 before 1.0.1.14 and WNR3500Lv2 before 1.2.0.48. ,Improper Neutralization of Special Elements
TPLink WiFi Router Telecomm TPLINK Wireless N Router WR841N TLWR841N Linux,Improper Access Control
Abus Smart Control Panel Smart HomeFUBE50001 LwP,Exposure of Sensitive Information to an Unauthorized Actor
An issue was discovered on TRENDnet TEW651BR 2.04B1 TEW652BRP 3.04b01 and TEW652BRU 1.00b12 devices. A buffer overflow occurs through the get_set.ccp ccp_act parameter. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
DLink WiFi Router Telecomm DIR601 DIR601 Linux,Insufficient Verification of Data Authenticity
The do_ssl3_write function in s3_pkt.c in OpenSSL 1.x through 1.0.1g when SSL_MODE_RELEASE_BUFFERS is enabled does not properly manage a buffer pointer during certain recursive calls which allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via vectors that trigger an alert condition. ,Improper Neutralization of Special Elements
Mitsubishi EDesigner Version 7.52 Build 344 contains two code sections which may be exploited to allow an attacker to overwrite arbitrary memory locations. This can result in arbitrary code execution compromised data integrity denial of service and system crash. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
NETGEAR WiFi Router Telecomm NETGEAR XR500 XR500 Linux Linux ubuntu4ubuntu0 3 ubuntu4 ubuntu0 3 ubuntu 4 ,Improper Access Control
The Hyper Module Management (HMM) software of Huawei Tecal E9000 Chassis V100R001C00SPC160 and earlier versions allows the operator to modify the userConfiguration of iMana through privilege escalation. ,Permissions; Privileges; and Access Controls
An exploitable remote code execution vulnerability exists in the upload.cgi functionality of Sierra Wireless AirLink ES450 FW 4.9.3. A specially crafted HTTP request can upload a file resulting in executable code being uploaded and routable to the webserver. An attacker can make an authenticated HTTP request to trigger this vulnerability. ,Incorrect Resource Transfer Between Spheres
A Password inConfiguration File issue was discovered in Smiths Medical Medfusion 4000 Wireless Syringe Infusion Pump Version 1.1 1.5 and 1.6. The pump stores some passwords in theConfiguration file which are accessible if the pump is configured to allow external communications. ,Exposure of Sensitive Information to an Unauthorized Actor
Buffer overflow on Advantech EKI1200 gateways with firmware before 1.63 allows remote attackers to execute arbitrary code via unspecified vectors. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Directory traversal vulnerability in 3S CODESYS GatewayServer before 2.3.9.27 allows remote attackers to execute arbitrary code via vectors involving a crafted pathname. ,Exposure of Resource to Wrong Sphere
iBall Baton iBWRB302N20122017 devices haveImproper Authorizationover the UART interface allowing physical attackers to discover WiFi credentials (plain text) and the webconsole password (base64) via the debugging console. ,Missing Encryption of Sensitive Data
An Improper Certificate Validation issue was discovered in Smiths Medical Medfusion 4000 Wireless Syringe Infusion Pump Version 1.1 1.5 and 1.6. The pump does not validate host certificates leaving the pump vulnerable to a maninthemiddle (MITM) attack. ,Improper Authentication
Multiple stackbased buffer overflow vulnerabilities were found in Honeywell Experion PKS all versions prior to R400.6 all versions prior to R410.6 and all versions prior to R430.2 modules that could lead to possible remote code execution dynamic memory corruption or denial of service. Honeywell strongly encourages and recommends all customers running unsupported versions of EKPS prior to R400 to upgrade to a supported version. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
The NTP timeserver interface on Meinberg IMSLANTIME M3000 IMSLANTIME M1000 IMSLANTIME M500 LANTIME M900 LANTIME M600 LANTIME M400 LANTIME M300 LANTIME M200 LANTIME M100 SyncFire 1100 and LCES devices with firmware before 6.20.004 allows remote authenticated users to obtain root privileges for writing to unspecified scripts and consequently obtain sensitive information or modify data by leveraging access to the nobody account. ,Permissions; Privileges; and Access Controls
NETGEAR WiFi Router Telecomm NETGEAR R7800 R7800 Linux Linux 1 3 5a ,Improper Neutralization of Special Elements
The (1) CimView and (2) CimEdit components in GE Proficy HMI SCADACIMPLICITY 8.2 and earlier allow remote attackers to gain privileges via a crafted CIMPLICITY screen (aka .CIM) file. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
An issue was discovered affecting a backup feature where a crafted POST request returns the currentConfiguration of the device in cleartext including the administrator password. No authentication is required. Affected devices: Wavlink WN575A3 Wavlink WN579G3 Wavlink WN531A6 Wavlink WN535G3 Wavlink WN530H4 Wavlink WN57X93 Wavlink WN572HG3 Wavlink WN575A4 Wavlink WN578A2 Wavlink WN579G3 Wavlink WN579X3 and Jetstream AC3000 ERAC3000 ,Insufficiently Protected Credentials
An issue was discovered on ASUS HG100 MW100 WS101 TS101 AS101 MS101 DL101 devices using ZigBee PRO. Attackers can utilize the discover ZigBee network procedure to perform a denial of service attack. ,Improper Input Validation
In Honeywell Performance IP Cameras and Performance NVRs the integrated web server of the affected devices could allow remote attackers to obtain webConfiguration data in JSON format for IP cameras and NVRs (Network Video Recorders) which can be accessed without authentication over the network. Affected performance IP Cameras: HBD3PR2H4D3PRV3HED3PR3H4D3PRV2HBD3PR1H4W8PR2HBW8PR2H2W2PC1MH2W4PER3H2W2PER3HEW2PER3HEW4PER3BHBW2PER1HEW4PER2HEW4PER2BHEW2PER2H4W2PER2HBW2PER2H4W2PER3 and HPW2P1. Affected Performance Series NVRs: HEN08104HEN08144HEN081124HEN16104HEN16144HEN16184HEN16204HEN162244HEN16284HEN16304HEN16384HEN32104HEN321124HEN32204HEN32284HEN322164HEN32304 HEN32384HEN323164HEN64204HEN64304HEN643164HEN643324HEN643484HEN04103HEN04113HEN04123HEN08103HEN08113HEN08123HEN08143HEN16103HEN16123HEN16143HEN16163HEN04103LHEN08103LHEN16103LHEN32103L. ,Exposure of Sensitive Information to an Unauthorized Actor
Huawei FusionCompute before V100R005C10SPC700 allows remote authenticated users to cause a denial of service (resource consumption) via a large number of crafted packets. ,Resource Management Errors
LCDS Laquis SCADA prior to version 4.1.0.4150 uses hard coded credentials which may allow an attacker unauthorized access to the system with high privileges. ,Improper Authentication
The CmpWebServer.dll module in the Control service in 3S CoDeSys 3.4 SP4 Patch 2 allows remote attackers to cause a denial of service (NULL pointer dereference) via (1) a crafted ContentLength in an HTTP POST or (2) an invalid HTTP request method. ,Improper Check for Unusual or Exceptional Conditions
Askey WiFi Access Point Telecomm NA AP5100W Unknown,Use of Insufficiently Random Values
DLink WiFi Access Point Telecomm NA DWL2600AP Unknown,Improper Neutralization of Special Elements
On Samsung SmartThings Hub STHETH250 devices with firmware version 0.20.17 the videocore process insecurely extracts the fields from the shard table of its SQLite database leading to a buffer overflow on the stack. The strcpy call overflows the destination buffer which has a size of 128 bytes. An attacker can send an arbitrarily long secretKey value in order to exploit this vulnerability. ,Improper Restriction of Operations within the Bounds of a Memory Buffer
A vulnerability has been identified in TIM 1531 IRC (All version < V2.0). The devices was missing proper authentication on port 102 tcp although configured. Successful exploitation requires an attacker to be able to send packets to port 102 tcp of the affected device. No user interaction and no user privileges are required to exploit the vulnerability. At the time of advisory publication no public exploitation of this vulnerability was known. ,Improper Authentication
An attacker with remote access to the SV3C HD Camera (LSERIES V2.3.4.2103S50NTDB20170508B and V2.3.4.2103S50NTDB20170823B) web interface can disclose information about the camera including all password sets set within the camera. This information can then be used to gain access to the web interface. ,Exposure of Sensitive Information to an Unauthorized Actor
In ABB IP GATEWAY 3.39 and prior someConfiguration files contain passwords stored in plaintext which may allow an attacker to gain unauthorized access. ,Insufficiently Protected Credentials
NETGEAR WiFi Router Telecomm NETGEAR R7800 R7800 Linux Linux 1 3 5a ,Improper Neutralization of Special Elements
Directory traversal vulnerability in Siemens SIMATIC WinCC OA before 3.12 P002 January allows remote attackers to read arbitrary files via crafted packets to TCP port 4999. ,Exposure of Resource to Wrong Sphere
Certain NETGEAR devices are affected by stored XSS. This affects D7800 before 1.0.1.56 R7500v2 before 1.0.3.46 R7800 before 1.0.2.68 R8900 before 1.0.4.28 R9000 before 1.0.4.28 RAX120 before 1.0.0.78 XR500 before 2.3.2.56 and XR700 before 1.0.1.10. ,Improper Neutralization of Special Elements
Aterm W300P Ver1.0.13 and earlier allows attacker with administrator rights to execute arbitrary OS commands via HTTP request and response. ,Improper Neutralization of Special Elements
TPLink WDR Series devices through firmware v3 (such as TLWDR5620 V3.0) are affected by command injection (after login) leading to remote code execution because shell metacharacters can be included in the weather get_weather_observe citycode field. ,Improper Neutralization of Special Elements
The Yale Bluetooth Key application for mobile devices allows unauthorized unlock actions by sniffing Bluetooth Low Energy (BLE) traffic during one authorized unlock action and then calculating the authentication key via simple computations on the hex digits of a valid authentication request. This affects the Yale ZENR lock and unspecified other locks. ,Improper Authentication
Yi Smart Camera Smart Home NA 27US Unknown,Improper Restriction of Operations within the Bounds of a Memory Buffer
Buffalo WiFi Router Telecomm BUFFALO WXR1900DHP2 WXR1900DHP2 Linux Linux 2 6 36 4 ,Improper Restriction of Operations within the Bounds of a Memory Buffer
Some Huawei products IPS Module V500R001C50; NGFW Module V500R001C50; V500R002C10; NIP6300 V500R001C50; NIP6600 V500R001C50; NIP6800 V500R001C50; Secospace USG6600 V500R001C50; USG9500 V500R001C50 have a memory leak vulnerability. The software does not release allocated memory properly when processing Protal questionnaire. A remote attacker could send a lot questionnaires to the device successful exploit could cause the device to reboot since running out of memory. ,Improper Resource Shutdown or Release
